accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	Nucleic Acid 	Host
KU322580.1	1467	Influenza A virus (A/swine/Italy/337155/2012(H3N2)) segment 6 neuraminidase (NA) gene, complete cds	1774875	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/swine/Italy/337155/2012(H3N2))	Influenza A virus (A/swine/Italy/337155/2012(H3N2))	RNA	Animal
KU322616.1	1701	Influenza A virus (A/swine/Italy/130452/2013(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds	1774789	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/swine/Italy/130452/2013(H1N1))	Influenza A virus (A/swine/Italy/130452/2013(H1N1))	RNA	Animal
KU322617.1	1410	Influenza A virus (A/swine/Italy/130452/2013(H1N1)) segment 6 neuraminidase (NA) gene, complete cds	1774789	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/swine/Italy/130452/2013(H1N1))	Influenza A virus (A/swine/Italy/130452/2013(H1N1))	RNA	Animal
KU324802.1	8203	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	RNA	Animal
KU341724.1	8591	HIV-1 isolate 11NP016 from Nepal gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	#VALUE!
KU343139.1	11806	UNVERIFIED: Clo Mor virus isolate ScotAr7 segment L cRNA sequence, sequence	1810952	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	Clo Mor virus	Clo Mor virus	RNA	Insect
KU343140.1	4414	UNVERIFIED: Clo Mor virus isolate ScotAr7 segment M cRNA sequence, sequence	1810952	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	Clo Mor virus	Clo Mor virus	RNA	Insect
KU343141.1	1613	UNVERIFIED: Clo Mor virus isolate ScotAr7 segment S cRNA sequence, sequence	1810952	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	Clo Mor virus	Clo Mor virus	RNA	Insect
KU343148.1	12139	UNVERIFIED: Bandia virus isolate IPD/A611 segment L cRNA sequence, sequence	248060	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Bandia orthonairovirus	Bandia virus	Bandia virus	RNA	Animal
KU343149.1	5130	UNVERIFIED: Bandia virus isolate IPD/A611 segment M cRNA sequence, sequence	248060	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Bandia orthonairovirus	Bandia virus	Bandia virus	RNA	Animal
KU343150.1	1960	UNVERIFIED: Bandia virus isolate IPD/A611 segment S cRNA sequence, sequence	248060	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Bandia orthonairovirus	Bandia virus	Bandia virus	RNA	Animal
KU343154.1	12132	UNVERIFIED: Farallon virus isolate CalAr846 segment L cRNA sequence, sequence	248053	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Hughes orthonairovirus	Farallon virus	Farallon virus	RNA	Insect
KU343155.1	4434	UNVERIFIED: Farallon virus isolate CalAr846 segment M cRNA sequence, sequence	248053	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Hughes orthonairovirus	Farallon virus	Farallon virus	RNA	Insect
KU343156.1	1898	UNVERIFIED: Farallon virus isolate CalAr846 segment S cRNA sequence, sequence	248053	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Hughes orthonairovirus	Farallon virus	Farallon virus	RNA	Insect
KU343157.1	12095	UNVERIFIED: Punta Salinas virus isolate CalAr888 segment L cRNA sequence, sequence	248056	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Punta orthonairovirus	Punta Salinas virus	Punta Salinas virus	RNA	Insect
KU343158.1	4317	UNVERIFIED: Punta Salinas virus isolate CalAr888 segment M cRNA sequence, sequence	248056	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Punta orthonairovirus	Punta Salinas virus	Punta Salinas virus	RNA	Insect
KU343159.1	1915	UNVERIFIED: Punta Salinas virus isolate CalAr888 segment S cRNA sequence, sequence	248056	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Punta orthonairovirus	Punta Salinas virus	Punta Salinas virus	RNA	Insect
KU343160.1	12104	UNVERIFIED: Qalyub orthonairovirus isolate ErAg370 segment L cRNA sequence, sequence	1980527	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Qalyub orthonairovirus	unclassified Qalyub orthonairovirus subspecies/strain	unclassified Qalyub orthonairovirus strain	RNA	Insect
KU343161.1	4932	UNVERIFIED: Qalyub orthonairovirus isolate ErAg370 segment M cRNA sequence, sequence	1980527	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Qalyub orthonairovirus	unclassified Qalyub orthonairovirus subspecies/strain	unclassified Qalyub orthonairovirus strain	RNA	Insect
KU343162.1	2225	UNVERIFIED: Qalyub orthonairovirus isolate ErAg370 segment S cRNA sequence, sequence	1980527	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Qalyub orthonairovirus	unclassified Qalyub orthonairovirus subspecies/strain	unclassified Qalyub orthonairovirus strain	RNA	Insect
KU343163.1	12189	UNVERIFIED: Clo Mor virus isolate 52301-14 segment L, complete sequence	1810952	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	Clo Mor virus	Clo Mor virus	RNA	Insect
KU343164.1	4799	UNVERIFIED: Clo Mor virus isolate 52301-14 segment M, complete sequence	1810952	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	Clo Mor virus	Clo Mor virus	RNA	Insect
KU350625.1	8082	Cervus papillomavirus 2 isolate BernieDPV, complete genome	1434070	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Epsilonpapillomavirus	Epsilonpapillomavirus 2	Cervus papillomavirus 2	Cervus papillomavirus 2	DNA	Animal
KU351669.1	9760	Pegivirus K isolate PPgV_903/Ger/2013 polyprotein gene, complete cds	1985364	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pegivirus	Pegivirus K	unclassified Pegivirus K subspecies/strain	unclassified Pegivirus K strain	RNA	Animal
KU351741.1	137448	Macaca nemestrina herpesvirus 7, complete genome	1846169	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Macacine betaherpesvirus 9	Macaca nemestrina herpesvirus 7	Macaca nemestrina herpesvirus 7	DNA	Animal
KU355876.1	7317	Enterovirus A114 strain V13-0285 polyprotein gene, complete cds	2760809	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A	enterovirus A114	enterovirus A114	RNA	Human
KU355877.1	7347	Enterovirus A121 strain V13-0682 polyprotein gene, complete cds	2487724	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A	Enterovirus A121	Enterovirus A121	RNA	Human
KU356605.1	751	Human rotavirus A strain RVA/Human-wt/BGN/M315/2013/G2P[4] NSP4 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU356614.1	1059	Human rotavirus A strain RVA/Human-wt/BGN/M313/2013/G2P[4] NSP2 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU356637.1	1066	Human rotavirus A strain RVA/Human-wt/BGN/M310/2013/G2P[4] NSP3 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU356638.1	751	Human rotavirus A strain RVA/Human-wt/BGN/M310/2013/G2P[4] NSP4 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU356671.1	751	Human rotavirus A strain RVA/Human-wt/BGN/M282/2013/G2P[4] NSP4 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU360853.1	653	Human rotavirus A strain RVA/Human-wt/BRA/QUI-139-F1/2010/G3P[9] VP1 gene, partial cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU360873.1	685	Human rotavirus A strain RVA/Human-wt/BRA/QUI-15-F11/2010/G3P[9] VP2 gene, partial cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU360901.1	1253	Human rotavirus A strain RVA/Human-wt/BRA/QUI-67-F3/2010/G3P[9] VP3 gene, partial cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU360993.1	1000	Human rotavirus A strain RVA/Human-wt/BRA/QUI-146-F1/2010/G3P[9] NSP2 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU361035.1	739	Human rotavirus A strain RVA/Human-wt/BRA/QUI-67-F3/2010/G3P[9] NSP4 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU361061.1	664	Human rotavirus A strain RVA/Human-wt/BRA/QUI-140-F1/2010/G3P[9] NSP5 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU363133.1	1356	Human rotavirus A isolate RVA/Human-wt/THA/CMHS-070-13/2013/G9P[19] VP6 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU363134.1	1356	Porcine rotavirus A isolate RVA/Pig-wt/THA/CMP-015-12/2012/G9P[19] VP6 gene, complete cds	10967	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Porcine rotavirus A	Porcine rotavirus A	RNA	Animal
KU363135.1	1059	Human rotavirus A isolate RVA/Human-wt/THA/CMHS-070-13/2013/G9P[19] NSP2 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU363140.1	1076	Porcine rotavirus A isolate RVA/Pig-wt/THA/CMP-015-12/2012/G9P[19] NSP3 gene, complete cds	10967	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Porcine rotavirus A	Porcine rotavirus A	RNA	Animal
KU363145.1	1520	Human rotavirus A isolate RVA/Human-wt/THA/CMHS-070-13/2013/G9P[19] NSP1 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU363146.1	1520	Porcine rotavirus A isolate RVA/Pig-wt/THA/CMP-015-12/2012/G9P[19] NSP1 gene, complete cds	10967	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Porcine rotavirus A	Porcine rotavirus A	RNA	Animal
KU363147.1	2591	Human rotavirus A isolate RVA/Human-wt/THA/CMHS-070-13/2013/G9P[19] VP3 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU363148.1	2591	Porcine rotavirus A isolate RVA/Pig-wt/THA/CMP-015-12/2012/G9P[19] VP3 gene, complete cds	10967	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Porcine rotavirus A	Porcine rotavirus A	RNA	Animal
KU363150.1	1062	Porcine rotavirus A isolate RVA/Pig-wt/THA/CMP-015-12/2012/G9P[19] VP7 gene, complete cds	10967	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Porcine rotavirus A	Porcine rotavirus A	RNA	Animal
KU363152.1	2717	Porcine rotavirus A isolate RVA/Pig-wt/THA/CMP-015-12/2012/G9P[19] VP2 gene, complete cds	10967	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Porcine rotavirus A	Porcine rotavirus A	RNA	Animal
KU363153.1	2359	Human rotavirus A isolate RVA/Human-wt/THA/CMHS-070-13/2013/G9P[19] VP4 gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU508375.1	1586	Rotavirus A strain RVA/Human-wt/HUN/182-02/2002/G8P[14] NSP1 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU508377.1	1074	Rotavirus A strain RVA/Human-wt/HUN/182-02/2002/G8P[14] NSP3 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU508380.1	3302	Rotavirus A strain RVA/Human-wt/HUN/182-02/2002/G8P[14] VP1 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU508382.1	2590	Rotavirus A strain RVA/Human-wt/HUN/182-02/2002/G8P[14] VP3 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU508385.1	1062	Rotavirus A strain RVA/Human-wt/HUN/182-02/2002/G8P[14] VP7 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU513742.1	1701	Influenza A virus (A/swine/Oklahoma/A01727394/2015(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds	1778359	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/swine/Oklahoma/A01727394/2015(H1N1))	Influenza A virus (A/swine/Oklahoma/A01727394/2015(H1N1))	RNA	Animal
KU513743.1	1410	Influenza A virus (A/swine/Oklahoma/A01727394/2015(H1N1)) segment 6 neuraminidase (NA) gene, complete cds	1778359	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/swine/Oklahoma/A01727394/2015(H1N1))	Influenza A virus (A/swine/Oklahoma/A01727394/2015(H1N1))	RNA	Animal
KU519391.1	7527	Bos taurus papillomavirus 16, complete genome	1887214	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyokappapapillomavirus	Dyokappapapillomavirus 3	Bos taurus papillomavirus 16	Bos taurus papillomavirus 16	DNA	Animal
KU519392.1	7402	Bos taurus papillomavirus 17, complete genome	1887215	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Xipapillomavirus	Xipapillomavirus 4	Bos taurus papillomavirus 17	Bos taurus papillomavirus 17	DNA	Animal
KU519393.1	7282	Bos taurus papillomavirus 18, complete genome	1887216	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyokappapapillomavirus	Dyokappapapillomavirus 4	Bos taurus papillomavirus 18	Bos taurus papillomavirus 18	DNA	Animal
KU519394.1	7253	Bos taurus papillomavirus 19, complete genome	1887217	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoxipapillomavirus	Dyoxipapillomavirus 2	Bos taurus papillomavirus 19	Bos taurus papillomavirus 19	DNA	Animal
KU519395.1	7277	Bos taurus papillomavirus 20, complete genome	1887218	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	unclassified Papillomaviridae genus	Bos taurus papillomavirus 20	unclassified Bos taurus papillomavirus 20 subspecies/strain	unclassified Bos taurus papillomavirus 20 strain	DNA	Animal
KU519396.1	7149	Bos taurus papillomavirus 21, complete genome	1887219	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoxipapillomavirus	Dyoxipapillomavirus 2	Bos taurus papillomavirus 21	Bos taurus papillomavirus 21	DNA	Animal
KU529086.1	1698	Influenza A virus (A/swine/Iowa/A01727813/2015(H1N2)) segment 4 hemagglutinin (HA) gene, complete cds	1779833	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/swine/Iowa/A01727813/2015(H1N2))	Influenza A virus (A/swine/Iowa/A01727813/2015(H1N2))	RNA	Animal
KU561552.1	4639	Sea otter parvovirus 1 isolate 4850-06 NS1 (NS1), VP1 (VP1), and VP2 (VP2) genes, complete cds	1882382	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Sea otter parvovirus 1	unclassified Sea otter parvovirus 1 subspecies/strain	unclassified Sea otter parvovirus 1 strain	DNA	Animal
KU562914.1	1181	Rotavirus B strain JN321 translation enhancer gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain	RNA	Human
KU569162.1	5154	Galliform aveparvovirus 1 isolate IPV, complete genome	1511865	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Aveparvovirus	Galliform aveparvovirus 1	unclassified Galliform aveparvovirus 1 subspecies/strain	unclassified Galliform aveparvovirus 1 strain	DNA	Animal
KU569991.1	2939	Bluetongue virus 8 isolate 15-01 segment 2, complete sequence	197780	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 8	Bluetongue virus 8	RNA	Animal
KU569992.1	2772	Bluetongue virus 8 isolate 15-01 segment 3, complete sequence	197780	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 8	Bluetongue virus 8	RNA	Animal
KU569994.1	1776	Bluetongue virus 8 isolate 15-01 segment 5, complete sequence	197780	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 8	Bluetongue virus 8	RNA	Animal
KU569995.1	1637	Bluetongue virus 8 isolate 15-01 segment 6, complete sequence	197780	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 8	Bluetongue virus 8	RNA	Animal
KU569997.1	1125	Bluetongue virus 8 isolate 15-01 segment 8, complete sequence	197780	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 8	Bluetongue virus 8	RNA	Animal
KU569999.1	822	Bluetongue virus 8 isolate 15-01 segment 10, complete sequence	197780	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 8	Bluetongue virus 8	RNA	Animal
KU572412.1	1410	Influenza A virus (A/environment/Sichuan/315068/2015(H6N2)) segment 6 neuraminidase (NA) gene, complete cds	1785103	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/environment/Sichuan/315068/2015(H6N2))	Influenza A virus (A/environment/Sichuan/315068/2015(H6N2))	RNA	Human
KU587555.1	7367	Enterovirus SEV-gx, complete genome	1826059	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus L	Enterovirus SEV-gx	Enterovirus SEV-gx	RNA	Animal
KU587796.1	6472	Hantavirus MAYOV segment L RNA-dependent RNA polymerase gene, complete cds	1811503	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantavirus MAYOV	unclassified Hantavirus MAYOV subspecies/strain	unclassified Hantavirus MAYOV strain	RNA	Animal
KU587853.1	3305	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 1, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU587854.1	2738	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 2, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU587855.1	2583	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 3, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU587856.1	2332	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 4, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU587857.1	1981	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 5, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU587858.1	1348	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 6, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU587859.1	1092	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 7, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU587860.1	1070	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 8, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU587861.1	1042	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 9, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU587862.1	729	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 10, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU587863.1	727	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37] segment 11, complete sequence	1795042	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	Rotavirus A pheasant-wt/HUN/216/2015/G23P[37]	RNA	Animal
KU597745.1	756	Human rotavirus A strain RVA/Human-wt/CHN/M2-102/2014/G3P[3] structural protein VP4 (VP4) gene, partial cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU597746.1	1356	Human rotavirus A strain RVA/Human-wt/CHN/M2-102/2014/G3P[3] structural protein VP6 (VP6) gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU597747.1	1108	Human rotavirus A strain RVA/Human-wt/CHN/M2-102/2014/G3P[3] structural protein VP1 (VP1) gene, partial cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU597749.1	1020	Human rotavirus A strain RVA/Human-wt/CHN/M2-102/2014/G3P[3] structural protein VP3 (VP3) gene, partial cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
